Name,Genre,ESRB_Rating,Platform,Global_Sales,NA_Sales,Year
Crash Bandicoot 2: Cortex Strikes Back,Platform,E,PS,7.58,3.78,1997
Frogger,Action,E,PS,4.16,3.79,1997
Adidas Power Soccer 98,Sports,E,PS,0.02,0.01,1998
Kensei: Sacred Fist,Fighting,T,PS,0.02,0.01,1998
Timeshock! Pro Pinball,Misc,E,PS,0.03,0.02,1998
MotorHead,Racing,E,PS,0.03,0.02,1998
International Superstar Soccer Pro '98,Sports,E,PS,0.42,0.02,1998
Master of Monsters: Disciples of Gaia,Strategy,E,PS,0.03,0.02,1998
Trap Gunner: Countdown to Oblivion,Strategy,T,PS,0.03,0.02,1998
Nectaris: Military Madness,Strategy,T,PS,0.03,0.02,1998
Warhammer: Dark Omen,Strategy,T,PS,0.04,0.02,1998
Thunder Force V: Perfect System,Shooter,E,PS,0.05,0.03,1998
Bottom of the 9th '99,Sports,E,PS,0.05,0.03,1998
Theme Hospital,Strategy,E,PS,0.09,0.03,1998
Kagero: Deception II,Strategy,M,PS,0.29,0.03,1998
Dragonseeds,Action,T,PS,0.1,0.03,1998
Deadly Arts,Fighting,T,N64,0.04,0.03,1998
Guilty Gear,Fighting,T,PS,0.14,0.03,1998
Judge Dredd,Shooter,T,PS,0.05,0.03,1998
Elemental Gearbolt,Shooter,T,PS,0.06,0.03,1998
No One Can Stop Mr. Domino!,Misc,E,PS,0.08,0.04,1998
Roll Away,Puzzle,E,PS,0.07,0.04,1998
Speed Racer,Racing,E,PS,0.07,0.04,1998
Circuit Breakers,Racing,E,PS,0.07,0.04,1998
G Darius,Shooter,E,PS,0.07,0.04,1998
Uprising X,Action,T,PS,0.07,0.04,1998
Auto Destruct,Action,T,PS,0.08,0.04,1998
Dual Heroes,Fighting,T,N64,0.05,0.04,1998
Ogre Battle Series: Tactics Ogre,Role-Playing,T,PS,0.08,0.04,1998
C: The Contra Adventure,Shooter,T,PS,0.07,0.04,1998
Rosco McQueen: Firefighter Extreme,Action,E,PS,0.09,0.05,1998
Virtual Chess 64,Misc,E,N64,0.06,0.05,1998
Devil Dice,Puzzle,E,PS,1.26,0.05,1998
S.C.A.R.S,Racing,E,N64,0.06,0.05,1998
S.C.A.R.S,Racing,E,PS,0.08,0.05,1998
Running Wild,Racing,E,PS,0.09,0.05,1998
Star Soldier: Vanishing Earth,Shooter,E,N64,0.06,0.05,1998
Invasion From Beyond,Shooter,E,PS,0.09,0.05,1998
Mike Piazza's Strike Zone,Sports,E,N64,0.06,0.05,1998
Olympic Hockey 98,Sports,E,N64,0.06,0.05,1998
Kartia: The Word of Fate,Strategy,E,PS,0.22,0.05,1998
Brigandine: The Legend of Forsena,Strategy,E,PS,0.09,0.05,1998
Wreckin Crew,Racing,T,PS,0.08,0.05,1998
Point Blank,Shooter,T,PS,0.34,0.05,1998
Shellshock,Action,E,PS,0.1,0.06,1998
International Superstar Soccer '98,Action,E,N64,0.6,0.06,1998
X-Men: Children of the Atom,Fighting,E,PS,0.1,0.06,1998
Bust-A-Move 2 Arcade Edition,Puzzle,E,N64,0.08,0.06,1998
Wetrix,Puzzle,E,N64,0.08,0.06,1998
Bomberman World,Puzzle,E,PS,0.33,0.06,1998
Aero Gauge,Racing,E,N64,0.07,0.06,1998
Iggy's Reckin' Balls,Racing,E,N64,0.08,0.06,1998
Knife Edge: NoseGunner,Shooter,E,N64,0.08,0.06,1998
International Superstar Soccer '98,Sports,E,N64,0.58,0.06,1998
Batman & Robin,Action,T,PS,0.11,0.06,1998
Pocket Fighter,Fighting,T,PS,0.23,0.06,1998
Armored Core: Project Phantasma,Simulation,T,PS,0.28,0.06,1998
Mystical Ninja starring Goemon,Action,E,N64,0.36,0.07,1998
Golden Nugget 64,Misc,E,N64,0.09,0.07,1998
TOCA Championship Racing,Racing,E,PS,2.28,0.07,1998
Azure Dreams,Role-Playing,E,PS,0.13,0.07,1998
NHL Breakaway 99,Sports,E,N64,0.08,0.07,1998
Bio FREAKS,Action,M,PS,0.13,0.07,1998
Assault: Retribution,Action,T,PS,0.13,0.07,1998
O.D.T.: Escape... Or Die Trying,Adventure,T,PS,0.12,0.07,1998
Akuji the Heartless,Platform,T,PS,0.12,0.07,1998
SkullMonkeys,Platform,T,PS,0.13,0.07,1998
Crime Killer,Racing,T,PS,0.12,0.07,1998
Robotron 64,Shooter,T,N64,0.09,0.07,1998
The Unholy War,Strategy,T,PS,0.13,0.07,1998
Jeopardy!,Misc,E,N64,0.1,0.08,1998
GT64 Championship Edition,Racing,E,N64,0.1,0.08,1998
Turbo Prop Racing,Racing,E,PS,0.15,0.08,1998
Milo's Astro Lanes,Sports,E,N64,0.1,0.08,1998
Virtual Pool 64,Sports,E,N64,0.1,0.08,1998
Fox Sports Golf '99,Sports,E,PS,0.14,0.08,1998
Cardinal Syn,Fighting,M,PS,0.15,0.08,1998
The Fifth Element,Action,T,PS,0.14,0.08,1998
Flying Dragon,Fighting,T,N64,0.1,0.08,1998
The Granstream Saga,Role-Playing,T,PS,0.14,0.08,1998
Bust A Groove,Misc,E,PS,0.54,0.09,1998
Streak: Hoverboard Racing,Racing,E,PS,0.15,0.09,1998
Chopper Attack,Action,T,N64,0.11,0.09,1998
Dead or Alive,Fighting,T,PS,0.28,0.09,1998
N2O: Nitrous Oxide,Racing,T,PS,0.16,0.09,1998
Tales of Destiny,Role-Playing,T,PS,1.04,0.09,1998
Einhander,Shooter,E,PS,0.31,0.1,1998
